Бренд;Артикул;Наименование номенклатуры;Количество;Окончательная цена
INA;534016410;Натяжитель ремня приводного;1;2739
INA;422005910;Коромысло клапана;1;534
INA;533009710;Натяжитель ремня (гидрав.);1;5971
INA;532031710;Ролик обводной ремня;1;2236
INA;535000510;Муфта генератора обгонная;1;1912
INA;535006310;Муфта генератора обгонная;1;1965
INA;535019810;Муфта генератора обгонная;1;5944
INA;531016210;Ролик натяжителя ремня генератота;1;2273
INA;531025130;Ролик натяжной ремня ГРМ;1;2777
INA;531049920;Ролик натяжителя ремня ГРМ;1;4265
INA;532033010;Ролик направляющий ремня приводного;2;1621
INA;532005110;Ролик направляющий ремня ГРМ;1;2194
INA;532039510;Ролик обводной ремня ГРМ;1;1295
INA;532016710;Ролик направляющий ремня ГРМ;1;1432
INA;531078310;Ролик поликлинового ремня;1;3040
LEMFORDER;3554401;Сайлентблок рычага задней подвески продольного передний левый;2;2960
LEMFORDER;3474901;Втулка стабилизатора переднего;1;229
LEMFORDER;3474401;Опора двигателя гидравлическая;1;5247
LEMFORDER;3495301;Опора двигателя;1;9585
LEMFORDER;3495401;Опора КПП;1;5670
LEMFORDER;3022401;Пыльник рейки рулевой;1;735
LEMFORDER;3373901;Пыльник рейки рулевой;1;734
LEMFORDER;3492001;Пыльник рейки рулевой;1;597
LEMFORDER;3093601;Наконечник рулевой тяги левый;1;2248
LEMFORDER;3506001;Рычаг передней подвески нижний правый;1;9693
LEMFORDER;3404501;Сайлентблок цапфы задней плавающий;1;1928
LEMFORDER;2978901;Сайлентблок балки заднего моста передний;1;2428
LEMFORDER;3325101;Сайлентблок рычага передней подвески задний;1;1566
LEMFORDER;3348201;Стойка стабилизатора заднего;1;824
LUK;510009010;Подшипник выжимной гидравлический;1;4159
LUK;324021910;Диск сцепления;1;5609
LUK;626303409;Комплект сцепления (корзина, диск);1;19659
LUK;623304700;Комплект сцепления (корзина, диск, подшипник);1;15409
LUK;624329509;Сцепление;1;15248
LUK;624316309;Комплект сцепления (корзина, диск);1;17101
LUK;624324719;Комплект сцепления (корзина, диск);1;22491
LUK;624317809;Сцепление SAC;1;23847
LUK;622114560;Сцепление;1;8940
LUK;621221809;Комплект сцепления (корзина, диск);1;12272
LUK;415030010;Маховик двухмассовый;1;51472
NISSENS;60305A;Радиатор охлаждения двигателя;2;15218
NISSENS;64648A;Радиатор охлаждения двигателя;1;8915
SACHS;557833;Амортизатор передний;1;4711
SACHS;3000951006;Комплект сцепления (корзина, диск);1;8463
SKF;VKBA6956;Подшипник ступицы колеса;1;5214
SKF;VKBA3554;Подшипник ступицы колеса;1;2069
SKF;VKBA3660;Подшипник ступицы колеса комплект;1;5528
SKF;VKBA736;Подшипник ступицы колеса;1;2697
SKF;VKBA6602;Подшипник ступицы колеса;1;9761
SKF;VKBA6998;Подшипник ступицы колеса;1;8790
SKF;VKBA3455;Подшипник ступицы колеса;2;3469
SKF;VKPC85304;Насос водяной помпа;1;2636
SKF;VKMVFC101;Муфта компрессора;1;2860
SKF;VKM11113;Ролик натяжителя;2;2247
NTN-SNR;R15720;Подшипник ступицы задний комплект;1;4552
TRW;JTE1062;Наконечник рулевой тяги левый;1;876
TRW;JBJ721;Опора шаровая рычага передней подвески нижняя;1;640
FEBI;6162;Масло для гидросистемы 1л.;10;890
BOSCH;1987946034;Ремень поликлиновый;1;455
BOSCH;280158502;Форсунка бензиновая;2;1328
ELRING;701289;Колпачок маслосъёмный;10;44
GATES;5631XS;Ремень ГРМ;1;2887
ELRING;786500;Прокладка пробки слива масла;1;6
MAHLE;LX594;Фильтр воздушный;1;111
MAHLE;LA155;Фильтр салонный Honda Jazz/Suzuki Swift 02-;1;810
MAHLE;LA44;Фильтр салона;1;690
LEMFORDER;1024002;Опора амортизатора переднего;1;1316
BOSCH;1467045035;Вал приводной ТНВД;1;8254
BOSCH;250202042;СВЕЧА НАКАЛИВАНИЯ;1;741
BOSCH;1987301001;Лампа галогенная H4 P43t 12V 60/55W PURE LIGHT;4;194
BOSCH;1987302524;Лампа накаливания P21/5W BAY15d 24V 21/5W TRUCKLIGHT;6;39
BOSCH;1987302084;Лампа галогенная H11 PGJ19-2 12V 55W PURE LIGHT;1;503
BOSCH;1987302048;ЛАМПА 12V 60/55W H4 LONGLIFE DAYTIME (КАРТОН 1 ШТ);1;307
BOSCH;1987301078;Лампа галогенная H7 PX26d 12V 55W PLUS 90;1;594
BOSCH;1987302208;Лампа накаливания W1.2W W2x4.6d 12V 1,2W PURE LIGHT;10;24
BOSCH;1987302031;Лампа галогенная H3 PK22s 12V 55W PURE LIGHT;1;102
BOSCH;1987302201;Лампа накаливания P21W BA15s 12V 21W PURE LIGHT;1;31
BOSCH;1987947652;Ремень зубчатый;1;369
BOSCH;1987947648;Ремень зубчатый;1;280
BOSCH;1987947790;Клиновый ремень 10 x 730;1;230
BOSCH;1987947610;Ремень зубчатый;2;240
BOSCH;1987947824;Ремень поликлиновый;1;1043
BOSCH;1987947896;Ремень поликлиновый;1;323
BOSCH;242235667;Свеча fr7dсx+ (1.1), 1шт [+11];4;199
BOSCH;242245536;Свеча зажигания;2;212
BOSCH;242235715;Свеча зажигания;8;460
BOSCH;242229739;Свеча зажигания hr8npp302 (1.0), 1шт;8;630
BOSCH;242235769;Свеча зажигания, Vovo, BMW, Citroen, Peugeot, Renaut 00>;8;610
BOSCH;242232502;Свеча супер-4 fr78x, 1шт;4;398
BOSCH;242232505;Свеча зажигания wr78x (1.1), 1шт.;8;292
BOSCH;3397118942;Щетки стеклоочистителя, к-кт;1;2527
BOSCH;3397004759;Щетка стеклоочистителя заднего;1;425
BOSCH;3397007579;Щетки стеклоочистителя, к-кт;1;1455
BOSCH;3397118965;Щетки стеклоочистителя, к-кт;2;1980
BOSCH;3397007120;Щетки стеклоочистителя, к-кт;1;2535
BOSCH;1987473055;Датчик износа тормозных колодок задний;1;536
BOSCH;986424818;Колодки тормозные передние;1;1378
BOSCH;986424371;Колодки дисковые передние,Mitsubishi Carisma 1.8GDi/1.9GDi 95>,Vovo S40 95-97;1;1956
BOSCH;1457433587;Воздушный фильтр s3587;1;1225
BOSCH;1987432085;Фильтр салонный;2;750
CONTITECH;CT1058;Ремень ГРМ Z 281 CT1058;1;4653
CONTITECH;AVX10X1500;Ремень клиновой;1;573
CONTITECH;6PK1555;Ремень поликлиновой BMW E34,E36,E38,E39 2.5,2.8;1;1305
CONTITECH;5PK2020;Ремень приводной;1;1573
CONTITECH;5PK1393;Ремень поликлиновый;1;1105
DENSO;DCF053K;Фильтр салонный угольный;1;1376
DENSO;K20TXR;Свеча зажигания;10;386
DENSO;T16VRU10;Свеча зажигания;8;282
DENSO;KJ20DRM11;Свеча зажигания;4;364
DENSO;SKJ20DRM11;Свеча зажигания иридиевая;2;1581
DENSO;IK20;Свеча зажигания иридиевая;8;1144
DENSO;SK20BR11;Свеча зажигания иридиевая;3;1239
DENSO;Q20PU;Свеча зажигания;4;116
DENSO;W16EPRU11;Свеча зажигания;1;197
DENSO;PK22PR8;Свеча зажигания платиновая;8;948
DENSO;Q16PRU;Свеча зажигания;1;234
DENSO;FXE24HR11;Свеча зажигания иридиевая;3;1831
DENSO;FXE20HR11;Свеча зажигания иридиевая;1;1406
DENSO;K20TR11;Свеча зажигания;1;332
DENSO;W20EPBRS;Свеча зажигания;1;383
DENSO;DG012;Свеча накаливания;1;712
DENSO;DG178;Свеча накаливания;1;1148
DENSO;DM053;Щетка стеклоочистителя;1;737
DENSO;DU070L;Щетка стеклоочистителя;1;2526
FILTRON;AK3621;Фильтр воздушный;1;1450
FILTRON;AP0341;Фильтр воздушный;1;497
FILTRON;AP013;Фильтр воздушный;1;268
FILTRON;AP1393;Фильтр воздушный;2;739
FILTRON;AP0285;Фильтр воздушный;1;1309
FILTRON;AR263;Фильтр воздушный;1;478
FILTRON;AP1773;Фильтр воздушный;1;525
FILTRON;AP195;Фильтр воздушный;1;499
FILTRON;AP1241;Фильтр воздушный;1;397
FILTRON;AP1941;Фильтр воздушный;1;932
FILTRON;OE6498;Фильтр масляный картридж;1;457
FILTRON;OE6621;Фильтр масляный картридж;1;421
FILTRON;OE665;Фильтр масляный картридж;2;285
FILTRON;OP546;Фильтр масляный;1;406
FILTRON;OE6484;Фильтр масляный картридж;2;382
FILTRON;OE662;Фильтр масляный картридж;2;312
FILTRON;OP631;Фильтр масляный;1;1175
